年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量現象なし情報
2022/4/30,12.9,17.1,9.0,0,1
2022/5/1,13.3,16.5,11.3,22.0,0
2022/5/2,14.2,19.9,11.3,3.0,0
2022/5/3,15.3,20.2,11.1,0,1
2022/5/4,18.3,23.7,12.1,0,1
2022/5/5,19.8,25.2,15.5,0,1
2022/5/6,19.5,23.6,16.6,0,1
2022/5/7,18.5,23.1,15.8,3.5,0
2022/5/8,18.3,22.4,15.8,0.0,0
2022/5/9,14.7,18.1,11.9,9.0,0
2022/5/10,16.5,21.9,11.8,0.5,0
2022/5/11,18.7,23.9,13.8,0,1
2022/5/12,19.4,23.3,17.1,4.0,0
2022/5/13,18.7,21.2,17.0,53.0,0
2022/5/14,21.8,24.9,20.0,21.5,0
2022/5/15,17.6,20.5,15.0,1.5,0
2022/5/16,15.0,15.8,14.5,7.0,0
2022/5/17,16.0,17.7,14.5,1.0,0
2022/5/18,18.6,24.4,13.8,0,1
2022/5/19,20.3,26.0,15.0,0,1
2022/5/20,20.9,24.2,17.4,0,1
2022/5/21,18.7,20.3,15.1,12.0,0
2022/5/22,19.1,25.0,14.9,2.0,0
2022/5/23,19.6,24.4,16.8,1.0,0
2022/5/24,21.1,25.7,17.0,0,1
2022/5/25,21.6,26.2,18.7,0,1
2022/5/26,21.5,25.8,17.9,0.0,0
2022/5/27,21.6,26.2,19.4,23.0,0
2022/5/28,23.0,26.8,18.4,0,1
2022/5/29,23.9,29.9,18.9,0,1
2022/5/30,22.9,28.2,19.9,0,1
2022/5/31,19.6,23.0,17.0,13.0,0
2022/6/1,21.9,26.8,18.8,0,1
2022/6/2,22.5,27.4,18.6,0,1
2022/6/3,21.8,27.5,19.4,0.0,0
2022/6/4,20.8,26.4,18.0,0.0,0
2022/6/5,22.0,25.8,19.3,0.0,0
2022/6/6,17.4,21.0,15.8,37.0,0
2022/6/7,17.5,20.0,15.7,0.5,0
2022/6/8,17.3,20.9,15.1,1.0,0
2022/6/9,19.5,24.1,17.0,0.5,0
2022/6/10,21.4,26.5,18.2,0.0,0
2022/6/11,21.7,24.8,19.3,4.0,0
2022/6/12,20.8,25.9,18.5,6.0,0
2022/6/13,21.6,27.1,18.2,0,1
2022/6/14,17.2,19.2,15.8,5.0,0
2022/6/15,16.8,18.0,15.3,15.0,0
2022/6/16,20.8,23.6,17.6,0.0,0
2022/6/17,23.6,27.8,20.8,0,1
2022/6/18,22.7,25.5,20.8,3.0,0
2022/6/19,23.8,27.8,19.8,0,1
2022/6/20,25.0,29.9,22.0,0,1
2022/6/21,24.3,28.5,21.7,4.0,0
2022/6/22,23.3,27.0,21.6,11.5,0
2022/6/23,23.7,28.1,21.8,0.0,0
2022/6/24,26.7,30.6,22.7,0.0,0
2022/6/25,28.5,32.8,25.3,0,1
2022/6/26,28.3,33.1,25.1,0,1
2022/6/27,28.8,34.7,23.9,0,1
2022/6/28,28.6,33.2,25.1,0,1
2022/6/29,28.9,33.1,25.2,0,1
2022/6/30,30.0,36.1,25.4,0,1
2022/7/1,28.9,34.2,25.1,0,1
2022/7/2,28.4,32.9,25.3,0,1
2022/7/3,27.9,32.5,25.4,0.0,0
2022/7/4,26.2,28.5,24.6,1.0,0
2022/7/5,25.5,30.2,23.7,6.0,0
2022/7/6,26.1,30.6,23.6,0.5,0
2022/7/7,25.5,29.0,23.8,0.0,0
2022/7/8,25.4,29.2,23.4,0.0,0
2022/7/9,26.0,30.6,23.1,0,1
2022/7/10,26.9,30.7,24.6,0.0,0
2022/7/11,27.7,33.8,24.5,0,1
2022/7/12,25.9,30.6,22.9,32.5,0
2022/7/13,23.9,26.0,22.6,35.5,0
2022/7/14,24.6,28.0,23.4,2.5,0
2022/7/15,24.0,25.6,23.3,85.0,0
2022/7/16,23.8,25.1,22.7,11.0,0
2022/7/17,25.5,30.1,22.4,13.0,0
2022/7/18,27.4,31.9,23.8,0.0,0
2022/7/19,26.6,28.5,25.1,6.5,0
2022/7/20,29.3,34.4,25.3,0,1
2022/7/21,27.9,31.4,26.1,0.0,0
2022/7/22,28.2,32.5,25.9,1.0,0
2022/7/23,28.2,32.8,25.4,0,1
2022/7/24,28.1,32.6,25.2,0,1
2022/7/25,28.5,32.7,25.8,0,1
2022/7/26,26.9,29.7,25.4,15.0,0
2022/7/27,28.6,32.2,26.6,0.5,0
2022/7/28,28.9,33.0,26.3,0,1
2022/7/29,29.1,33.6,25.7,0.0,0
2022/7/30,29.6,33.5,26.3,0,1
2022/7/31,30.6,35.2,27.0,0,1
2022/8/1,30.8,35.0,27.7,0,1
2022/8/2,31.3,35.6,28.2,0,1
2022/8/3,31.7,36.2,28.0,0.0,0
2022/8/4,25.1,30.4,22.8,51.0,0
2022/8/5,24.4,28.1,22.7,0.0,0
2022/8/6,25.3,29.7,22.8,0.0,0
2022/8/7,27.4,31.4,24.5,0.5,0
2022/8/8,29.2,32.7,26.5,0,1
2022/8/9,30.1,33.4,28.1,0,1
2022/8/10,29.9,33.4,27.5,0,1
2022/8/11,28.9,33.1,27.0,0.0,0
2022/8/12,28.0,31.4,25.6,2.0,0
2022/8/13,25.5,29.4,24.4,64.5,0
2022/8/14,28.5,33.0,24.4,0.0,0
2022/8/15,29.5,33.1,26.6,0,1
2022/8/16,29.9,33.1,27.9,0.0,0
2022/8/17,27.9,33.4,24.6,6.5,0
2022/8/18,26.8,30.2,24.4,6.0,0
2022/8/19,27.5,32.6,24.4,0,1
2022/8/20,26.6,30.5,24.6,1.5,0
2022/8/21,26.7,29.6,24.9,0.5,0
2022/8/22,26.4,29.3,24.8,0.0,0
2022/8/23,28.5,32.2,25.0,0,1
2022/8/24,28.3,33.2,23.4,3.0,0
2022/8/25,25.9,28.7,23.0,0.0,0
2022/8/26,28.0,31.9,25.7,0.0,0
2022/8/27,29.1,33.3,26.0,1.0,0
2022/8/28,24.6,28.1,22.4,1.0,0
2022/8/29,23.7,26.9,21.1,1.0,0
2022/8/30,22.9,26.0,20.4,3.5,0
2022/8/31,27.3,31.9,23.1,4.0,0
2022/9/1,27.4,31.8,24.0,19.5,0
2022/9/2,23.9,26.6,22.7,23.5,0
2022/9/3,25.2,28.8,22.6,0.0,0
2022/9/4,26.3,31.5,23.9,0.0,0
2022/9/5,26.8,31.2,24.2,0,1
2022/9/6,27.7,31.7,24.2,0.5,0
2022/9/7,27.0,28.9,25.1,7.5,0
2022/9/8,24.6,28.4,22.2,0.0,0
2022/9/9,24.7,28.4,22.0,0.0,0
2022/9/10,25.8,29.8,22.6,0,1
2022/9/11,24.8,29.0,22.0,0.0,0
2022/9/12,26.1,31.3,22.7,2.0,0
2022/9/13,26.1,29.8,22.5,0.5,0
2022/9/14,26.7,30.8,23.3,0,1
2022/9/15,23.7,26.2,21.9,0,1
2022/9/16,25.4,30.6,20.8,0.0,0
2022/9/17,26.7,31.1,23.4,2.0,0
2022/9/18,25.4,26.9,23.6,104.5,0
2022/9/19,27.3,30.2,24.7,44.0,0
2022/9/20,23.3,28.0,18.1,21.5,0
2022/9/21,20.1,24.4,17.1,0.0,0
2022/9/22,20.4,23.3,18.0,0.0,0
2022/9/23,21.8,24.9,19.2,35.0,0
2022/9/24,23.9,27.3,21.9,44.0,0
2022/9/25,23.5,27.3,21.4,0,1
2022/9/26,23.5,28.4,20.0,0,1
2022/9/27,23.6,28.2,20.7,0,1
2022/9/28,23.0,27.2,19.8,0.0,0
2022/9/29,21.8,24.7,20.1,1.0,0
2022/9/30,23.5,28.1,19.7,0.0,0
2022/10/1,23.8,28.8,20.4,0,1
2022/10/2,23.7,28.8,19.5,0,1
2022/10/3,23.4,27.5,20.8,0,1
2022/10/4,25.0,28.8,21.4,0,1
2022/10/5,20.8,25.6,15.6,10.0,0
2022/10/6,13.8,15.9,11.9,5.5,0
2022/10/7,12.7,13.8,11.6,76.0,0
2022/10/8,17.0,21.0,12.9,0,1
2022/10/9,17.3,21.4,15.2,10.0,0
2022/10/10,20.0,25.9,15.0,7.5,0
2022/10/11,22.0,25.7,19.3,0,1
2022/10/12,19.1,19.9,18.3,0.0,0
2022/10/13,16.1,18.3,15.2,6.5,0
2022/10/14,17.6,19.8,15.2,2.5,0
2022/10/15,20.6,24.9,18.1,0.0,0
2022/10/16,21.1,25.8,17.7,0,1
2022/10/17,20.8,22.7,19.0,2.5,0
2022/10/18,17.1,19.2,14.3,1.0,0
2022/10/19,15.1,18.5,12.5,1.0,0
2022/10/20,15.4,19.9,10.7,0,1
2022/10/21,17.5,22.8,12.0,0,1
2022/10/22,18.4,22.9,15.8,0,1
2022/10/23,18.7,23.6,14.2,0.0,0
2022/10/24,14.6,18.0,12.5,0.0,0
2022/10/25,13.2,14.4,12.0,0.5,0
2022/10/26,14.4,18.8,10.8,0.5,0
2022/10/27,13.5,17.6,9.6,0,1
2022/10/28,14.3,18.2,11.4,0,1
2022/10/29,16.3,21.8,11.8,0,1
2022/10/30,15.2,19.2,12.3,0,1
2022/10/31,15.3,20.1,10.7,0,1
2022/11/1,15.0,17.1,12.8,0.0,0
2022/11/2,17.1,21.8,12.4,0.0,0
2022/11/3,18.8,24.7,13.6,0,1
2022/11/4,16.6,22.0,13.1,0.0,0
2022/11/5,14.6,17.4,12.9,0.0,0
2022/11/6,14.2,18.3,10.5,0,1
2022/11/7,13.9,17.8,10.6,0,1
2022/11/8,16.1,20.9,11.8,0,1
2022/11/9,15.3,18.0,12.2,0,1
2022/11/10,16.2,20.8,11.4,0,1
2022/11/11,16.5,22.1,11.8,0,1
2022/11/12,17.1,21.7,13.9,0,1
2022/11/13,18.8,23.1,13.9,0.0,0
2022/11/14,15.9,18.7,12.9,0.0,0
2022/11/15,12.0,13.6,10.6,5.0,0
2022/11/16,13.3,17.7,9.3,0,1
2022/11/17,13.0,17.2,8.8,0,1
2022/11/18,13.7,18.1,10.3,0,1
2022/11/19,14.6,18.8,10.3,0,1
2022/11/20,12.1,14.6,10.9,9.0,0
2022/11/21,14.0,18.4,11.0,5.5,0
2022/11/22,16.0,20.8,11.4,0,1
2022/11/23,12.2,16.3,10.7,46.0,0
2022/11/24,16.1,22.0,11.0,0.0,0
2022/11/25,14.8,17.8,12.7,0.0,0
2022/11/26,13.4,16.3,10.7,3.5,0
2022/11/27,14.9,19.4,10.9,0,1
2022/11/28,12.5,13.9,9.8,0,1
2022/11/29,18.7,22.0,12.6,20.5,0
2022/11/30,17.7,21.3,14.1,15.0,0
2022/12/1,11.1,14.2,9.6,0.0,0
2022/12/2,10.3,13.8,7.5,0,1
2022/12/3,8.9,12.1,6.1,0,1
2022/12/4,11.5,17.5,6.3,0,1
2022/12/5,8.5,11.5,5.7,23.5,0
2022/12/6,7.0,9.1,5.0,13.5,0
2022/12/7,9.6,14.3,5.2,0,1
2022/12/8,10.3,15.1,5.5,0,1
2022/12/9,10.2,14.1,7.0,0,1
2022/12/10,11.1,15.8,6.8,0,1
2022/12/11,10.2,14.7,7.3,0.0,0
2022/12/12,9.4,12.0,7.1,0.0,0
2022/12/13,8.3,10.4,5.7,6.0,0
2022/12/14,11.0,16.5,6.1,0,1
2022/12/15,8.0,12.2,4.7,0,1
2022/12/16,9.3,14.7,4.3,0,1
2022/12/17,7.6,10.6,5.0,3.5,0
2022/12/18,6.8,11.6,2.6,1.5,0
2022/12/19,5.2,9.9,1.3,0,1
2022/12/20,6.3,10.8,2.2,0,1
2022/12/21,7.3,10.8,3.6,0.0,0
2022/12/22,8.5,13.4,4.3,16.0,0
2022/12/23,5.4,9.0,1.9,0,1
2022/12/24,6.8,12.0,1.1,0,1
2022/12/25,7.9,13.5,4.0,0,1
2022/12/26,7.3,11.6,4.3,0,1
2022/12/27,7.7,12.7,2.7,0,1
2022/12/28,7.8,12.8,4.8,0,1
2022/12/29,8.6,13.4,4.2,0,1
2022/12/30,7.5,11.0,5.0,0,1
2022/12/31,6.4,9.6,4.1,0,1
2023/1/1,7.4,12.1,2.3,0,1
2023/1/2,6.9,11.1,4.3,0.0,0
2023/1/3,6.5,10.9,3.0,0,1
2023/1/4,5.9,10.5,2.1,0,1
2023/1/5,6.2,11.0,2.9,0,1
2023/1/6,6.1,10.0,1.8,0,1
2023/1/7,6.7,10.0,3.5,0.0,0
2023/1/8,7.5,11.6,3.0,0,1
2023/1/9,8.8,13.5,4.4,0,1
2023/1/10,6.9,9.7,3.5,0,1
2023/1/11,6.6,10.1,3.2,0,1
2023/1/12,7.1,12.5,3.2,0,1
2023/1/13,9.7,15.2,4.2,0.0,0
2023/1/14,11.7,15.4,8.6,2.5,0
2023/1/15,10.9,12.8,8.0,5.5,0
2023/1/16,7.2,8.2,5.8,4.0,0
2023/1/17,5.6,7.9,4.2,1.5,0
2023/1/18,7.4,11.0,4.2,0.0,0
2023/1/19,6.5,7.9,4.7,0.5,0
2023/1/20,8.1,11.9,4.3,0.0,0
2023/1/21,5.9,8.9,3.7,0,1
2023/1/22,5.5,8.8,2.8,0,1
2023/1/23,5.0,6.6,3.8,0.0,0
2023/1/24,5.8,12.9,0.0,0.0,0
2023/1/25,0.3,3.7,-2.1,0,1
2023/1/26,4.0,8.9,-1.8,0,1
2023/1/27,4.2,7.1,1.4,2.5,0
2023/1/28,4.1,7.6,1.2,0,1
2023/1/29,4.2,7.8,0.4,0,1
2023/1/30,5.0,12.0,0.0,0,1
2023/1/31,5.1,8.9,2.4,0,1
2023/2/1,8.0,13.1,1.4,0,1
2023/2/2,6.6,9.2,4.6,0,1
2023/2/3,5.3,6.3,4.1,0,1
2023/2/4,7.4,11.8,3.5,0,1
2023/2/5,7.6,11.2,4.0,0,1
2023/2/6,7.9,11.8,3.4,0,1
2023/2/7,10.5,14.3,7.0,0,1
2023/2/8,9.2,11.3,6.9,0.0,0
2023/2/9,6.6,10.6,4.1,0,1
2023/2/10,2.5,4.3,0.6,24.5,0
2023/2/11,9.3,14.2,2.8,0,1
2023/2/12,11.7,16.5,7.2,0,1
2023/2/13,8.1,11.4,6.5,14.5,0
2023/2/14,5.9,9.1,3.8,0.0,0
2023/2/15,3.9,7.6,1.9,0,1
2023/2/16,4.5,7.7,0.9,0,1
2023/2/17,6.1,10.1,1.6,0,1
2023/2/18,9.5,15.5,3.5,0,1
2023/2/19,15.0,19.4,9.4,0.0,0
2023/2/20,9.9,13.3,5.4,0.0,0
2023/2/21,5.4,9.1,3.1,0,1
2023/2/22,6.0,9.3,1.9,0.0,0
2023/2/23,8.9,16.5,4.2,1.0,0
2023/2/24,9.1,11.4,6.9,1.0,0
2023/2/25,7.8,12.8,3.9,0.0,0
2023/2/26,6.6,10.9,2.7,0,1
2023/2/27,8.9,13.4,4.1,0,1
2023/2/28,12.2,18.2,5.1,0,1
2023/3/1,14.4,17.9,10.0,0.0,0
2023/3/2,13.1,19.6,7.0,1.0,0
2023/3/3,8.4,12.2,5.4,0,1
2023/3/4,10.2,15.0,5.6,0,1
2023/3/5,9.5,13.0,7.9,2.0,0
2023/3/6,10.4,14.5,7.9,0.5,0
2023/3/7,12.3,18.2,7.9,0,1
2023/3/8,14.3,20.0,9.0,0,1
2023/3/9,16.0,22.0,10.9,0,1
2023/3/10,17.7,22.9,13.5,0.0,0
2023/3/11,14.7,20.3,10.4,0,1
2023/3/12,14.2,18.6,10.5,0,1
2023/3/13,14.4,17.3,10.1,6.0,0
2023/3/14,10.1,13.2,7.7,0.0,0
2023/3/15,12.8,18.1,9.2,0,1
2023/3/16,14.7,21.1,9.6,0,1
2023/3/17,13.1,15.6,10.7,0.0,0
2023/3/18,8.7,10.7,8.0,37.0,0
2023/3/19,10.4,14.3,6.7,0.0,0
2023/3/20,13.4,19.2,7.2,0,1
2023/3/21,14.8,17.0,11.8,0,1
2023/3/22,17.2,23.1,13.2,0,1
2023/3/23,16.4,20.0,13.6,23.0,0
2023/3/24,19.4,24.2,14.4,14.0,0
2023/3/25,11.2,14.5,9.9,27.0,0
2023/3/26,11.6,13.0,10.6,22.0,0
2023/3/27,13.3,16.7,10.2,2.0,0
2023/3/28,10.6,13.9,7.9,4.0,0
2023/3/29,13.3,17.7,9.6,0.0,0
2023/3/30,14.4,19.5,10.7,1.5,0
2023/3/31,15.1,18.6,11.8,0,1
2023/4/1,16.2,21.8,11.6,0,1
2023/4/2,14.2,17.7,12.2,0.0,0
2023/4/3,13.2,17.2,11.0,0,1
2023/4/4,14.0,19.6,9.1,0,1
2023/4/5,16.3,21.6,11.4,0,1
2023/4/6,18.5,21.5,16.4,0.0,0
2023/4/7,18.6,20.9,17.1,20.5,0
2023/4/8,16.0,21.2,10.1,1.5,0
2023/4/9,12.0,16.8,7.5,0,1
2023/4/10,14.8,21.1,8.2,0,1
2023/4/11,18.5,23.2,14.3,0,1
2023/4/12,19.1,22.9,15.4,0,1
2023/4/13,16.2,20.1,12.9,0,1
2023/4/14,18.3,22.2,15.0,0,1
2023/4/15,14.3,17.7,12.5,40.0,0
2023/4/16,18.2,25.1,13.3,2.0,0
2023/4/17,15.8,20.0,12.0,1.0,0
2023/4/18,15.3,21.0,11.3,0,1
2023/4/19,18.6,24.4,12.6,0,1
2023/4/20,20.0,24.8,16.4,0,1
2023/4/21,20.8,25.8,18.2,0.0,0
2023/4/22,15.2,19.1,13.7,0.0,0
2023/4/23,14.3,18.4,11.1,0,1
2023/4/24,13.7,16.2,12.4,0,1
2023/4/25,14.6,18.3,9.5,0.0,0
2023/4/26,16.4,20.0,13.4,25.0,0
2023/4/27,17.5,22.3,12.9,0.5,0
2023/4/28,18.6,23.0,14.8,0,1
2023/4/29,19.4,22.9,16.2,0.0,0
2023/4/30,20.4,24.0,18.2,4.5,0